objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
blankpage9,A blank page of the Leigh Hunt Hair Book,J.H. Leigh Hunt,1784-1859,An image of a blank page in the Leigh Hunt Hair Book,leigh hunt;romanticism;hair;blank page,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/222/full/full/0/default.jpg,,"https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/222/full/132,100/0/default.jpg",,
samueltaylorcoleridgepage,The portrait and hair of Samuel Taylor Coleridge,J.H. Leigh Hunt,1825,An image of the page featuring the portrait and hair of Samuel Taylor Coleridge,samuel taylor coleridge;hair;poet,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/223/full/full/0/default.jpg,,"https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/223/full/133,100/0/default.jpg",,
samueltaylorcoleridgeback,The backside of the page featuring Samuel Taylor Coleridge,J.H. Leigh Hunt,1825,An image of the backside of the page featuring Samuel Taylor Coleridge,samuel taylor coleridge;poet,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/224/full/full/0/default.jpg,,"https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/224/full/133,100/0/default.jpg",,
samueltaylorcoleridgepage2,An alternative page featuring the portrait of Samuel Taylor Coleridge,J.H. Leigh Hunt,1825,An image of the alternative page featuring the portrait of Samuel Taylor Coleridge,samuel taylor coleridge;poet,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/225/full/full/0/default.jpg,,"https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/225/full/133,100/0/default.jpg",,
blankpage10,A blank page of the Leigh Hunt Hair Book,J.H. Leigh Hunt,1784-1859,An image of a blank page in the Leigh Hunt Hair Book,leigh hunt;romanticism;hair;blank page,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/226/full/full/0/default.jpg,,"https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/226/full/132,100/0/default.jpg",,
charleslambpage,The portrait and hair of Charles Lamb,J.H. Leigh Hunt,1826,An image of the page featuring the portrait and hair of Charles Lamb,charles lamb;hair;poet,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/227/full/full/0/default.jpg,,"https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/227/full/133,100/0/default.jpg",,
charleslambback,The backside of the page featuring Charles Lamb,J.H. Leigh Hunt,1826,An image of the backside of the page featuring Charles Lamb,charles lamb;poet,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/228/full/full/0/default.jpg,,"https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/228/full/132,100/0/default.jpg",,
charleslambpage2,An alternative page featuring the portrait of Charles Lamb,J.H. Leigh Hunt,1826,An image of the alternative page featuring Charles Lamb,charles lamb;poet,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/229/full/full/0/default.jpg,,"https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/229/full/133,100/0/default.jpg",,
blankpage11,A blank page of the Leigh Hunt Hair Book,J.H. Leigh Hunt,1784-1859,An image of a blank page in the Leigh Hunt Hair Book,leigh hunt;romanticism;hair;blank page,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/230/full/full/0/default.jpg,,"https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/230/full/132,100/0/default.jpg",,
williamhazlittpage,The portrait and hair of William Hazlitt,J.H. Leigh Hunt,1784-1859,An image of the page featuring the portrait and hair of William Hazlitt,william hazlitt;hair;essayist,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/231/full/full/0/default.jpg,,"https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/231/full/134,100/0/default.jpg",,
williamhazlittback,The backside of the page featuring William Hazlitt,J.H. Leigh Hunt,1784-1859,An image of the backside of the page featuring William Hazlitt,william hazlitt;essayist,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/232/full/full/0/default.jpg,,"https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/232/full/133,100/0/default.jpg",,
williamhazlittpage2,An alternative page featuring the portrait of William Hazlitt,J.H. Leigh Hunt,1784-1859,An image of the alternative page featuring the portrait of William Hazlitt,william hazlitt;essayist,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/233/full/full/0/default.jpg,,"https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/233/full/133,100/0/default.jpg",,
blankpage12,A blank page of the Leigh Hunt Hair Book,J.H. Leigh Hunt,1784-1859,An image of a blank page in the Leigh Hunt Hair Book,leigh hunt;romanticism;hair;blank page,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/234/full/full/0/default.jpg,,"https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/234/full/132,100/0/default.jpg",,
brianwallerprocter,The portrait and hair of Brian Waller Procter,J.H. Leigh Hunt,1821,An image of the page featuring Brian Waller Procter,brian waller procter;hair;poet,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/235/full/full/0/default.jpg,,"https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/235/full/134,100/0/default.jpg",,
brianwallerprocterback,The backside of the page featuring Brian Waller Procter,J.H. Leigh Hunt,1821,An image of the page featuring Brian Waller Procter,brian waller procter;poet,Austin Texas,,,HRC The University of Texas at Austin,STARK_6693_STK,StillImage,image-jpeg,eng,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/236/full/full/0/default.jpg,,"https://hrc.contentdm.oclc.org/digital/iiif/p15878coll14/236/full/132,100/0/default.jpg",,
